epoch,loss_decrease,loss_positive,step,train_loss,val_loss
0,8.756034851074219,0.2860184907913208,49,9.04205322265625,
0,5.4857258796691895,0.051990967243909836,99,5.537716865539551,
0,6.6331024169921875,0.08148110657930374,149,6.714583396911621,
0,,,156,,2.8598878383636475
1,4.965774059295654,0.06559772044420242,199,5.031371593475342,
1,2.176802158355713,0.0,249,2.176802158355713,
1,5.432526111602783,0.11129890382289886,299,5.543825149536133,
1,,,313,,3.746549606323242
2,1.2270421981811523,0.0,349,1.2270421981811523,
2,1.1554782390594482,0.0,399,1.1554782390594482,
2,0.3626626431941986,0.0,449,0.3626626431941986,
2,,,470,,0.8681771159172058
3,2.43471360206604,0.09116760641336441,499,2.525881290435791,
3,0.7675684690475464,0.046006057411432266,549,0.8135745525360107,
3,0.45756101608276367,0.0,599,0.45756101608276367,
3,,,627,,1.4600861072540283
4,0.3247986435890198,0.0,649,0.3247986435890198,
4,0.007881416007876396,0.010970814153552055,699,0.01885223016142845,
4,1.197317123413086,0.014448768459260464,749,1.2117658853530884,
4,,,784,,0.2356019765138626
5,1.139699935913086,0.0,799,1.139699935913086,
5,0.0776459202170372,0.0,849,0.0776459202170372,
5,0.0,0.008469713851809502,899,0.008469713851809502,
5,,,941,,0.0204482264816761
6,0.0,0.0010118456557393074,949,0.0010118456557393074,
6,0.0,0.0,999,0.0,
6,0.1995246857404709,0.003392632119357586,1049,0.20291732251644135,
6,,,1098,,0.0627347007393837
7,0.0,0.002293625148013234,1099,0.002293625148013234,
7,0.30501413345336914,0.0026009150315076113,1149,0.3076150417327881,
7,0.0,0.0,1199,0.0,
7,0.0,0.04511473700404167,1249,0.04511473700404167,
7,,,1255,,0.016390614211559296
8,0.24531866610050201,0.0,1299,0.24531866610050201,
8,0.048543307930231094,0.0,1349,0.048543307930231094,
8,0.0,0.0,1399,0.0,
8,,,1412,,0.19110189378261566
9,0.12946610152721405,0.0,1449,0.12946610152721405,
9,0.037149567157030106,0.0012014862149953842,1499,0.03835105150938034,
9,0.8852294683456421,0.0,1549,0.8852294683456421,
9,,,1569,,2.2982046604156494
10,0.043739818036556244,0.005126858130097389,1599,0.048866674304008484,
10,0.0,0.011285717599093914,1649,0.011285717599093914,
10,0.0,0.0,1699,0.0,
10,,,1726,,0.006109115667641163
11,0.0,0.0,1749,0.0,
11,0.0,0.004518960602581501,1799,0.004518960602581501,
11,0.0,0.0,1849,0.0,
11,,,1883,,0.04416012018918991
12,0.0,0.0,1899,0.0,
12,0.4794546961784363,0.0,1949,0.4794546961784363,
12,0.0,0.0,1999,0.0,
12,,,2040,,0.005473841913044453
13,0.0,0.011348811909556389,2049,0.011348811909556389,
13,0.0,0.0,2099,0.0,
13,0.020692631602287292,0.0,2149,0.020692631602287292,
13,,,2197,,0.046859320253133774
14,0.0,0.0,2199,0.0,
14,1.1377583742141724,0.042994849383831024,2249,1.180753231048584,
14,0.0,0.0,2299,0.0,
14,0.0,0.0,2349,0.0,
14,,,2354,,0.2521008253097534
15,0.0,0.0,2399,0.0,
15,0.0,0.0,2449,0.0,
15,0.0,0.0,2499,0.0,
15,,,2511,,0.00023139947734307498
16,0.0,0.0,2549,0.0,
16,0.0,0.0,2599,0.0,
16,0.0,0.0,2649,0.0,
16,,,2668,,0.0
17,0.0,0.0,2699,0.0,
17,0.0,0.0,2749,0.0,
17,0.0,0.0,2799,0.0,
17,,,2825,,0.0
18,0.0,0.0,2849,0.0,
18,0.0,0.0,2899,0.0,
18,0.0,0.0,2949,0.0,
18,,,2982,,0.0
19,0.0,0.0,2999,0.0,
19,0.0,0.0,3049,0.0,
19,0.0,0.0,3099,0.0,
19,,,3139,,0.0
20,0.0,0.0,3149,0.0,
20,0.0,0.0,3199,0.0,
20,0.0,0.0,3249,0.0,
20,,,3296,,0.0
21,0.0,0.0,3299,0.0,
21,0.0,0.0,3349,0.0,
21,0.0,0.0,3399,0.0,
21,0.0,0.0,3449,0.0,
21,,,3453,,0.0
22,0.0,0.0,3499,0.0,
22,0.0,0.0,3549,0.0,
22,0.0,0.0,3599,0.0,
22,,,3610,,0.0
23,0.0,0.0,3649,0.0,
23,0.0,0.0,3699,0.0,
23,0.0,0.0,3749,0.0,
23,,,3767,,0.0
24,0.0,0.0,3799,0.0,
24,0.0,0.0,3849,0.0,
24,0.0,0.0,3899,0.0,
24,,,3924,,0.0
25,0.0,0.0,3949,0.0,
25,0.0,0.0,3999,0.0,
25,0.0,0.0,4049,0.0,
25,,,4081,,0.0
26,0.0,0.0,4099,0.0,
26,0.0,0.0,4149,0.0,
26,0.0,0.0,4199,0.0,
26,,,4238,,0.0
